time_s,cumulative_reflected,cumulative_stuck,cumulative_absorbed
1e-07,0,0,0
2e-07,0,0,0
3e-07,0,0,0
4e-07,0,0,0
5e-07,0,0,0
6e-07,0,0,0
7e-07,0,0,0
8e-07,0,0,0
9e-07,0,0,0
1e-06,0,0,0
1.1e-06,0,0,0
1.2e-06,0,0,0
1.2999999999999998e-06,0,0,0
1.3999999999999995e-06,0,0,0
1.4999999999999996e-06,0,0,0
1.5999999999999995e-06,0,0,0
1.6999999999999994e-06,0,0,0
1.7999999999999993e-06,0,0,0
1.8999999999999992e-06,0,0,0
1.999999999999999e-06,0,0,0
2.099999999999999e-06,0,0,0
2.199999999999999e-06,0,0,0
2.2999999999999987e-06,0,0,0
2.399999999999998e-06,0,0,0
2.4999999999999985e-06,0,0,0
2.5999999999999984e-06,0,0,0
2.6999999999999983e-06,0,0,0
2.799999999999998e-06,0,0,0
2.899999999999998e-06,0,0,0
2.999999999999998e-06,0,0,0
3.099999999999998e-06,0,0,0
3.1999999999999977e-06,0,0,0
3.2999999999999976e-06,0,0,0
3.399999999999997e-06,0,0,0
3.4999999999999974e-06,0,0,0
3.5999999999999973e-06,0,0,0
3.699999999999997e-06,0,0,0
3.799999999999997e-06,0,0,0
3.899999999999997e-06,0,0,0
3.999999999999997e-06,0,0,0
4.099999999999997e-06,0,0,0
4.199999999999997e-06,0,0,0
4.299999999999997e-06,0,0,0
4.399999999999997e-06,0,0,0
4.499999999999997e-06,0,0,0
4.599999999999997e-06,0,0,0
4.6999999999999965e-06,0,0,0
4.799999999999996e-06,0,0,0
4.899999999999996e-06,0,0,0
4.999999999999996e-06,0,0,0
5.099999999999996e-06,0,0,0
5.199999999999996e-06,0,0,0
5.299999999999996e-06,0,0,0
5.399999999999996e-06,0,0,0
5.499999999999996e-06,0,0,0
5.599999999999996e-06,0,0,0
5.699999999999995e-06,0,0,0
5.799999999999995e-06,0,0,0
5.899999999999995e-06,0,0,0
5.999999999999995e-06,0,0,0
6.099999999999995e-06,0,0,0
6.199999999999995e-06,0,0,0
6.299999999999995e-06,0,0,0
6.399999999999995e-06,0,0,0
6.4999999999999945e-06,0,0,0
6.599999999999994e-06,0,0,0
6.699999999999994e-06,0,0,0
6.799999999999994e-06,0,0,0
6.899999999999994e-06,0,0,0
6.999999999999994e-06,0,0,0
7.099999999999994e-06,0,0,0
7.199999999999994e-06,0,0,0
7.299999999999994e-06,0,0,0
7.3999999999999935e-06,0,0,0
7.499999999999993e-06,0,0,0
7.599999999999993e-06,0,0,0
7.699999999999994e-06,0,0,0
7.799999999999995e-06,0,0,0
7.899999999999996e-06,0,0,0
7.999999999999996e-06,0,0,0
8.099999999999997e-06,0,0,0
8.199999999999998e-06,2,3,0
8.299999999999998e-06,10,9,0
8.4e-06,16,18,0
8.5e-06,21,21,0
8.6e-06,23,29,0
8.700000000000001e-06,24,36,0
8.800000000000002e-06,26,45,0
8.900000000000003e-06,30,49,0
9.000000000000004e-06,33,52,0
9.100000000000004e-06,35,57,0
9.200000000000003e-06,37,60,0
9.300000000000006e-06,38,62,0
9.400000000000008e-06,39,64,0
9.500000000000007e-06,41,71,0
9.600000000000008e-06,43,72,0
9.700000000000009e-06,46,77,0
9.80000000000001e-06,48,80,0
9.90000000000001e-06,52,84,0
1.0000000000000013e-05,56,85,0
1.0100000000000012e-05,58,88,0
1.0200000000000012e-05,61,90,0
1.0300000000000011e-05,62,92,0
1.0400000000000014e-05,63,95,0
1.0500000000000016e-05,67,96,1
1.0600000000000015e-05,71,97,1
1.0700000000000016e-05,76,97,1
1.0800000000000015e-05,79,103,1
1.0900000000000018e-05,82,107,1
