particle_id,x,y,vx,vy,release_time,mass,diameter,density,charge,source_part_id,material_id,source_event_tag,stick_probability,source_x,source_y,release_offset_m,impulse_voltage_V,initial_speed_mps,charge_number_e,charge_model,particle_model
1,0.1718085400815815,0.024,-18.72205410396081,98.20573909721662,0.0,9.215338450530062e-21,2e-08,2200,-9.57445098262955e-18,34,60,part11_sio2_20nm_charged_sheath_ejection,0.0,0.1718085400815815,0.0219999999999999,0.002,4.518470882950969,99.97440923307433,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
2,0.166163139715084,0.024,-131.84380793902852,211.34833029210623,0.0,9.215338450530062e-21,2e-08,2200,-9.57445098262955e-18,34,60,part11_sio2_20nm_charged_sheath_ejection,0.0,0.166163139715084,0.0219999999999999,0.002,31.66477192815251,249.10019351482785,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
3,0.1770094755946169,0.024,-221.6327014521237,185.92327949020776,0.0,9.215338450530062e-21,2e-08,2200,-9.57445098262955e-18,34,60,part11_sio2_20nm_charged_sheath_ejection,0.0,0.1770094755946169,0.0219999999999999,0.002,38.562122125758464,289.2896821688601,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
4,0.1645863009279101,0.024,78.22576108791054,2.588351570285234,0.0,9.215338450530062e-21,2e-08,2200,-9.57445098262955e-18,34,60,part11_sio2_20nm_charged_sheath_ejection,0.0,0.1645863009279101,0.0219999999999999,0.002,2.861245626350142,78.26857135296554,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
5,0.1570639587826448,0.024,-199.15082357501865,69.35306696931637,0.0,9.215338450530062e-21,2e-08,2200,-9.57445098262955e-18,34,60,part11_sio2_20nm_charged_sheath_ejection,0.0,0.1570639587826448,0.0219999999999999,0.002,18.32845831797023,210.8812424770365,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
6,0.1561964847719362,0.024,-135.1485965227995,26.854085760471897,0.0,9.215338450530062e-21,2e-08,2200,-9.57445098262955e-18,34,60,part11_sio2_20nm_charged_sheath_ejection,0.0,0.1561964847719362,0.0219999999999999,0.002,7.574386074072349,137.79072923862924,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
7,0.1775973798866431,0.024,-186.9995318062853,79.4360011734523,0.0,9.215338450530062e-21,2e-08,2200,-9.57445098262955e-18,34,60,part11_sio2_20nm_charged_sheath_ejection,0.0,0.1775973798866431,0.0219999999999999,0.002,23.68818512182812,203.1721023620089,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
8,0.1540098950616744,0.024,105.79715720994412,74.89688588066461,0.0,9.215338450530062e-21,2e-08,2200,-9.57445098262955e-18,34,60,part11_sio2_20nm_charged_sheath_ejection,0.0,0.1540098950616744,0.0219999999999999,0.002,10.32662141399282,129.6247738217002,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
9,0.1688153568484283,0.024,-88.60359724889528,97.55844930823244,0.0,9.215338450530062e-21,2e-08,2200,-9.57445098262955e-18,34,60,part11_sio2_20nm_charged_sheath_ejection,0.0,0.1688153568484283,0.0219999999999999,0.002,9.828089487360586,131.78865078932785,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
10,0.1562236043880794,0.024,-103.40645076785442,173.9158834782153,0.0,9.215338450530062e-21,2e-08,2200,-9.57445098262955e-18,34,60,part11_sio2_20nm_charged_sheath_ejection,0.0,0.1562236043880794,0.0219999999999999,0.002,18.07944659674412,202.33543581491816,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
11,0.1724810692046197,0.024,-158.77510733412126,172.4059713857547,0.0,9.215338450530062e-21,2e-08,2200,-9.57445098262955e-18,34,60,part11_sio2_20nm_charged_sheath_ejection,0.0,0.1724810692046197,0.0219999999999999,0.002,25.97237528171874,234.3786544854872,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
12,0.1781449998474199,0.024,-284.03502755419026,193.7320160038397,0.0,9.215338450530062e-21,2e-08,2200,-9.57445098262955e-18,34,60,part11_sio2_20nm_charged_sheath_ejection,0.0,0.1781449998474199,0.0219999999999999,0.002,62.11815891846613,343.8138899210176,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
13,0.1788386146094748,0.024,-243.10869165534103,72.69286507960815,0.0,9.215338450530062e-21,2e-08,2200,-9.57445098262955e-18,34,60,part11_sio2_20nm_charged_sheath_ejection,0.0,0.1788386146094748,0.0219999999999999,0.002,29.187662104380287,253.74414001480665,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
