part_id,outcome,wall_mode,count
6,reflected_specular,mixed_specular_diffuse,4622
6,reflected_diffuse,mixed_specular_diffuse,2008
1,reflected_specular,mixed_specular_diffuse,1937
1,stuck,mixed_specular_diffuse,752
1,reflected_diffuse,mixed_specular_diffuse,698
6,stuck,mixed_specular_diffuse,591
12,reflected_specular,mixed_specular_diffuse,126
12,reflected_diffuse,mixed_specular_diffuse,48
11,reflected_specular,mixed_specular_diffuse,19
11,reflected_diffuse,mixed_specular_diffuse,13
12,stuck,mixed_specular_diffuse,11
4,reflected_specular,mixed_specular_diffuse,8
11,stuck,mixed_specular_diffuse,7
3,reflected_diffuse,mixed_specular_diffuse,1
3,reflected_specular,mixed_specular_diffuse,1
3,stuck,mixed_specular_diffuse,1
4,stuck,mixed_specular_diffuse,1
