save_index,time_s,step_name,segment_name
0,0.0,run,run
1,0.02,run,run
2,0.04,run,run
3,0.05999999999999999,run,run
4,0.08,run,run
5,0.10000000000000002,run,run
6,0.12000000000000004,run,run
7,0.14000000000000004,run,run
8,0.16000000000000006,run,run
9,0.18000000000000008,run,run
10,0.2000000000000001,run,run
11,0.2200000000000001,run,run
12,0.24000000000000013,run,run
13,0.2600000000000001,run,run
14,0.28000000000000014,run,run
15,0.30000000000000016,run,run
16,0.3200000000000002,run,run
17,0.3400000000000002,run,run
18,0.3600000000000002,run,run
19,0.3800000000000002,run,run
20,0.40000000000000024,run,run
21,0.42000000000000026,run,run
22,0.4400000000000003,run,run
23,0.4600000000000003,run,run
24,0.4800000000000003,run,run
25,0.5000000000000003,run,run
26,0.5200000000000004,run,run
27,0.5400000000000004,run,run
28,0.5600000000000004,run,run
29,0.5800000000000004,run,run
30,0.6000000000000004,run,run
31,0.6200000000000004,run,run
32,0.6400000000000005,run,run
33,0.6600000000000005,run,run
34,0.6800000000000005,run,run
35,0.7000000000000005,run,run
36,0.7200000000000005,run,run
37,0.7400000000000005,run,run
38,0.7600000000000006,run,run
39,0.7800000000000006,run,run
40,0.8,run,run
