part_id,outcome,wall_mode,count
6,reflected_specular,mixed_specular_diffuse,5659
6,reflected_diffuse,mixed_specular_diffuse,2402
1,reflected_specular,mixed_specular_diffuse,2108
12,reflected_specular,mixed_specular_diffuse,1385
1,stuck,mixed_specular_diffuse,779
1,reflected_diffuse,mixed_specular_diffuse,747
6,stuck,mixed_specular_diffuse,723
12,reflected_diffuse,mixed_specular_diffuse,624
11,reflected_specular,mixed_specular_diffuse,454
12,stuck,mixed_specular_diffuse,174
11,reflected_diffuse,mixed_specular_diffuse,167
11,stuck,mixed_specular_diffuse,138
4,reflected_specular,mixed_specular_diffuse,4
3,reflected_diffuse,mixed_specular_diffuse,1
3,reflected_specular,mixed_specular_diffuse,1
3,stuck,mixed_specular_diffuse,1
4,reflected_diffuse,mixed_specular_diffuse,1
4,stuck,mixed_specular_diffuse,1
