part_id,part_name,material_id,material_name,wall_law,wall_restitution,wall_diffuse_fraction,wall_stick_probability
2,axis_symmetry_2,10,axis_symmetry,specular,1.0,0.0,0.0
3,wafer_3,20,wafer,specular,0.95,0.0,0.5
4,axis_symmetry_4,10,axis_symmetry,specular,1.0,0.0,0.0
6,axis_symmetry_6,10,axis_symmetry,specular,1.0,0.0,0.0
7,glass_quartz_wall_7,60,glass_quartz,specular,0.95,0.0,0.5
8,axis_symmetry_8,10,axis_symmetry,specular,1.0,0.0,0.0
9,glass_quartz_wall_9,60,glass_quartz,specular,0.95,0.0,0.5
10,axis_symmetry_10,10,axis_symmetry,specular,1.0,0.0,0.0
11,copper_wall_11,70,copper,specular,0.95,0.0,0.5
12,copper_wall_12,70,copper,specular,0.95,0.0,0.5
32,chamber_wall_32,40,chamber_wall,specular,0.95,0.0,0.5
34,glass_quartz_wall_34,60,glass_quartz,specular,0.95,0.0,0.5
35,glass_quartz_wall_35,60,glass_quartz,specular,0.95,0.0,0.5
36,glass_quartz_wall_36,60,glass_quartz,specular,0.95,0.0,0.5
37,glass_quartz_wall_37,60,glass_quartz,specular,0.95,0.0,0.5
38,glass_quartz_wall_38,60,glass_quartz,specular,0.95,0.0,0.5
39,glass_quartz_wall_39,60,glass_quartz,specular,0.95,0.0,0.5
41,glass_quartz_wall_41,60,glass_quartz,specular,0.95,0.0,0.5
42,glass_quartz_wall_42,60,glass_quartz,specular,0.95,0.0,0.5
43,sidewall_43,50,sidewall,specular,0.95,0.0,0.5
44,sidewall_44,50,sidewall,specular,0.95,0.0,0.5
45,copper_wall_45,70,copper,specular,0.95,0.0,0.5
46,glass_quartz_wall_46,60,glass_quartz,specular,0.95,0.0,0.5
47,glass_quartz_wall_47,60,glass_quartz,specular,0.95,0.0,0.5
48,glass_quartz_wall_48,60,glass_quartz,specular,0.95,0.0,0.5
