save_index,time_s,step_name,segment_name
0,0.0,ignite,ignite
1,0.05,ignite,ignite
2,0.09999999999999999,ignite,ignite
3,0.15,ignite,ignite
4,0.20000000000000004,ignite,ignite
5,0.25000000000000006,ignite,ignite
6,0.3000000000000001,ignite,ignite
7,0.35000000000000014,ignite,ignite
8,0.4000000000000002,ignite,ignite
9,0.45000000000000023,ignite,ignite
10,0.5000000000000002,ignite,ignite
11,0.5500000000000003,ignite,ignite
12,0.6000000000000003,sustain,sustain
13,0.6100000000000003,sustain,sustain
14,0.6200000000000003,sustain,sustain
15,0.6300000000000003,sustain,sustain
16,0.6400000000000003,sustain,sustain
17,0.6500000000000004,sustain,sustain
18,0.6600000000000004,sustain,sustain
19,0.6700000000000004,sustain,sustain
20,0.6800000000000004,sustain,sustain
21,0.6900000000000004,sustain,sustain
22,0.7000000000000004,sustain,sustain
23,0.7100000000000004,sustain,sustain
24,0.7200000000000004,sustain,sustain
25,0.7300000000000004,sustain,sustain
26,0.7400000000000004,sustain,sustain
27,0.7500000000000004,sustain,sustain
28,0.7600000000000005,sustain,sustain
29,0.7700000000000005,sustain,sustain
30,0.7800000000000005,sustain,sustain
31,0.7900000000000005,sustain,sustain
32,0.8000000000000005,sustain,sustain
33,0.8100000000000005,sustain,sustain
34,0.8200000000000005,sustain,sustain
35,0.8300000000000005,sustain,sustain
36,0.8400000000000005,sustain,sustain
37,0.8500000000000005,sustain,sustain
38,0.8600000000000005,sustain,sustain
39,0.8700000000000006,sustain,sustain
40,0.8800000000000006,sustain,sustain
41,0.8900000000000006,sustain,sustain
42,0.9000000000000006,sustain,sustain
43,0.9100000000000006,sustain,sustain
44,0.9200000000000006,sustain,sustain
45,0.9300000000000006,sustain,sustain
46,0.9400000000000006,sustain,sustain
47,0.9500000000000006,sustain,sustain
48,0.9600000000000006,sustain,sustain
49,0.9700000000000006,sustain,sustain
50,0.9800000000000006,sustain,sustain
51,0.9900000000000007,sustain,sustain
52,1.0000000000000007,sustain,sustain
53,1.0100000000000007,sustain,sustain
54,1.0200000000000007,sustain,sustain
55,1.0300000000000007,sustain,sustain
56,1.0400000000000007,sustain,sustain
57,1.0500000000000007,sustain,sustain
58,1.0600000000000007,sustain,sustain
59,1.0700000000000007,sustain,sustain
60,1.0800000000000007,sustain,sustain
61,1.0900000000000007,sustain,sustain
62,1.1000000000000008,sustain,sustain
63,1.1100000000000008,sustain,sustain
64,1.1200000000000008,sustain,sustain
65,1.1300000000000008,sustain,sustain
66,1.1400000000000008,sustain,sustain
67,1.1500000000000008,sustain,sustain
68,1.1600000000000008,sustain,sustain
69,1.1700000000000008,sustain,sustain
70,1.1800000000000008,sustain,sustain
71,1.1900000000000008,sustain,sustain
72,1.2,sustain,sustain
