particle_id,x,y,vx,vy,release_time,mass,diameter,density,charge,source_part_id,material_id,source_event_tag,stick_probability,source_x,source_y,release_offset_m
1,0.2225480405694262,0.1285857864376269,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,9,99,,0.0,0.2225480405694262,0.13,0.001414213562373
2,0.001414213562373,0.0702608945373611,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,6,10,,0.0,0.0,0.0702608945373611,0.001414213562373
3,0.001414213562373,0.1123771589777488,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,6,10,,0.0,0.0,0.1123771589777488,0.001414213562373
4,0.1412131921351029,0.023414213562373,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,7,99,,0.0,0.1412131921351029,0.022,0.001414213562373
5,0.0965784359818909,0.1285857864376269,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,9,99,,0.0,0.0965784359818909,0.13,0.001414213562373
6,0.2485857864376269,0.0939173333020406,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,42,50,,0.0,0.25,0.0939173333020406,0.001414213562373
7,0.1798678327097857,0.023414213562373,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,47,99,,0.0,0.1798678327097857,0.022,0.001414213562373
8,0.0561745697537007,0.023414213562373,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,7,99,,0.0,0.0561745697537007,0.022,0.001414213562373
9,0.1407389479402226,0.023414213562373,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,7,99,,0.0,0.1407389479402226,0.022,0.001414213562373
10,0.0967371462026005,0.023414213562373,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,7,99,,0.0,0.0967371462026005,0.022,0.001414213562373
11,0.102624217344995,0.1285857864376269,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,9,99,,0.0,0.102624217344995,0.13,0.001414213562373
12,0.2152651744243832,0.1285857864376269,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,9,99,,0.0,0.2152651744243832,0.13,0.001414213562373
13,0.2485857864376269,0.0233251829106172,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,42,50,,0.0,0.25,0.0233251829106172,0.001414213562373
14,0.2385857864376269,0.1110438800837593,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,38,99,,0.0,0.24,0.1110438800837593,0.001414213562373
15,0.2485857864376269,0.0385947156720248,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,42,50,,0.0,0.25,0.0385947156720248,0.001414213562373
16,0.001414213562373,0.0775735222569349,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,6,10,,0.0,0.0,0.0775735222569349,0.001414213562373
17,0.0508441049392753,0.023414213562373,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,7,99,,0.0,0.0508441049392753,0.022,0.001414213562373
18,0.2327679698563807,0.1285857864376269,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,9,99,,0.0,0.2327679698563807,0.13,0.001414213562373
19,0.1178115245844081,0.1285857864376269,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,9,99,,0.0,0.1178115245844081,0.13,0.001414213562373
20,0.001414213562373,0.1031734634539675,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,6,10,,0.0,0.0,0.1031734634539675,0.001414213562373
21,0.2485857864376269,0.0766173539015008,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,42,50,,0.0,0.25,0.0766173539015008,0.001414213562373
22,0.2204408379724166,0.1285857864376269,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,9,99,,0.0,0.2204408379724166,0.13,0.001414213562373
23,0.0443478603121439,0.023414213562373,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,7,99,,0.0,0.0443478603121439,0.022,0.001414213562373
24,0.131932676073411,0.023414213562373,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,7,99,,0.0,0.131932676073411,0.022,0.001414213562373
25,0.2485857864376269,0.0640511215981044,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,42,50,,0.0,0.25,0.0640511215981044,0.001414213562373
26,0.2215430352369491,0.1285857864376269,0.0,0.0,0.0,6.64215627e-26,1e-06,1200.0,1.602176634e-19,9,99,,0.0,0.2215430352369491,0.13,0.001414213562373
