part_id,outcome,wall_mode,count
6,reflected_specular,mixed_specular_diffuse,5861
6,reflected_diffuse,mixed_specular_diffuse,2653
1,reflected_specular,mixed_specular_diffuse,1879
1,stuck,mixed_specular_diffuse,753
6,stuck,mixed_specular_diffuse,738
1,reflected_diffuse,mixed_specular_diffuse,594
12,reflected_specular,mixed_specular_diffuse,57
12,reflected_diffuse,mixed_specular_diffuse,31
12,stuck,mixed_specular_diffuse,8
3,reflected_specular,mixed_specular_diffuse,2
4,reflected_specular,mixed_specular_diffuse,1
4,stuck,mixed_specular_diffuse,1
