part_id,stuck_count,mean_distance_to_edge_m
6,2905,1.000000000001e-06
12,2313,1.0000000000194559e-06
11,551,1.0000000000631856e-06
3,262,1.0000000000981446e-06
1,159,1.000000000000001e-06
7,44,9.81077702900578e-07
