particle_id,source_part_id,resolved_material_id,law_name,event_tag,matched_events,event_factor,release_enabled,original_release_time_s,step_name,step_source_law_override,step_source_speed_scale,step_source_event_gain_scale,step_source_enabled,offset_m,source_delta_speed_mps,final_speed_mps,resolved_release_time_s
1,1,1,explicit_csv,,start_boost,1.0270670566473226,1,0.0,,,1.0,1.0,1,0.0,0.0,0.0,0.0
2,2,2,explicit_csv,,start_boost,1.02717548734834,1,4e-05,,,1.0,1.0,1,0.0,0.0,0.0,4e-05
3,5,1,explicit_csv,,start_boost,1.0272842432858433,1,8e-05,,,1.0,1.0,1,0.0,0.0,0.0,8e-05
4,6,2,explicit_csv,,start_boost,1.0273933248896376,1,0.00012,,,1.0,1.0,1,0.0,0.0,0.0,0.00012
5,7,1,explicit_csv,,start_boost,1.0275027325873318,1,0.00016,,,1.0,1.0,1,0.0,0.0,0.0,0.00016
6,8,2,explicit_csv,,start_boost,1.0276124668043223,1,0.0002,,,1.0,1.0,1,0.0,0.0,0.0,0.0002
7,9,1,explicit_csv,,start_boost,1.0277225279637776,1,0.00024,,,1.0,1.0,1,0.0,0.0,0.0,0.00024
8,1,2,explicit_csv,,start_boost,1.0278329164866231,1,0.00028,,,1.0,1.0,1,0.0,0.0,0.0,0.00028
9,2,1,explicit_csv,,start_boost,1.0279436327915246,1,0.00032,,,1.0,1.0,1,0.0,0.0,0.0,0.00032
10,5,2,explicit_csv,,start_boost,1.0280546772948729,1,0.00036,,,1.0,1.0,1,0.0,0.0,0.0,0.00036
11,6,1,explicit_csv,,start_boost,1.0281660504107684,1,0.0004,,,1.0,1.0,1,0.0,0.0,0.0,0.0004
12,7,2,explicit_csv,,start_boost,1.0282777525510047,1,0.00044,,,1.0,1.0,1,0.0,0.0,0.0,0.00044
13,8,1,explicit_csv,,start_boost,1.0283897841250538,1,0.00048,,,1.0,1.0,1,0.0,0.0,0.0,0.00048
14,9,2,explicit_csv,,start_boost,1.0285021455400492,1,0.00052,,,1.0,1.0,1,0.0,0.0,0.0,0.00052
15,1,1,explicit_csv,,start_boost,1.0286148372007708,1,0.00056,,,1.0,1.0,1,0.0,0.0,0.0,0.00056
16,2,2,explicit_csv,,start_boost,1.0287278595096292,1,0.0006,,,1.0,1.0,1,0.0,0.0,0.0,0.0006
17,5,1,explicit_csv,,start_boost,1.028841212866649,1,0.00064,,,1.0,1.0,1,0.0,0.0,0.0,0.00064
18,6,2,explicit_csv,,start_boost,1.028954897669455,1,0.00068,,,1.0,1.0,1,0.0,0.0,0.0,0.00068
19,7,1,explicit_csv,,start_boost,1.029068914313253,1,0.00072,,,1.0,1.0,1,0.0,0.0,0.0,0.00072
20,8,2,explicit_csv,,start_boost,1.0291832631908173,1,0.00076,,,1.0,1.0,1,0.0,0.0,0.0,0.00076
21,9,1,explicit_csv,,start_boost,1.0292979446924733,1,0.0008,,,1.0,1.0,1,0.0,0.0,0.0,0.0008
22,1,2,explicit_csv,,start_boost,1.0294129592060808,1,0.00084,,,1.0,1.0,1,0.0,0.0,0.0,0.00084
23,2,1,explicit_csv,,start_boost,1.02952830711702,1,0.00088,,,1.0,1.0,1,0.0,0.0,0.0,0.00088
24,5,2,explicit_csv,,start_boost,1.0296439888081745,1,0.00092,,,1.0,1.0,1,0.0,0.0,0.0,0.00092
25,6,1,explicit_csv,,start_boost,1.0297600046599147,1,0.00096,,,1.0,1.0,1,0.0,0.0,0.0,0.00096
