part_id,outcome,wall_mode,count
6,reflected_specular,mixed_specular_diffuse,4871
6,reflected_diffuse,mixed_specular_diffuse,2113
1,reflected_specular,mixed_specular_diffuse,1918
12,reflected_specular,mixed_specular_diffuse,1402
1,stuck,mixed_specular_diffuse,746
1,reflected_diffuse,mixed_specular_diffuse,675
12,reflected_diffuse,mixed_specular_diffuse,610
6,stuck,mixed_specular_diffuse,605
11,reflected_specular,mixed_specular_diffuse,420
12,stuck,mixed_specular_diffuse,162
11,reflected_diffuse,mixed_specular_diffuse,155
11,stuck,mixed_specular_diffuse,144
7,reflected_specular,mixed_specular_diffuse,15
4,reflected_specular,mixed_specular_diffuse,10
7,reflected_diffuse,mixed_specular_diffuse,3
4,reflected_diffuse,mixed_specular_diffuse,2
9,reflected_specular,mixed_specular_diffuse,2
3,reflected_specular,mixed_specular_diffuse,1
7,stuck,mixed_specular_diffuse,1
