part_id,outcome,wall_mode,count
6,reflected_specular,mixed_specular_diffuse,4846
6,reflected_diffuse,mixed_specular_diffuse,2119
1,reflected_specular,mixed_specular_diffuse,1863
12,reflected_specular,mixed_specular_diffuse,1394
1,stuck,mixed_specular_diffuse,746
1,reflected_diffuse,mixed_specular_diffuse,641
12,reflected_diffuse,mixed_specular_diffuse,605
6,stuck,mixed_specular_diffuse,599
11,reflected_specular,mixed_specular_diffuse,352
12,stuck,mixed_specular_diffuse,164
11,reflected_diffuse,mixed_specular_diffuse,145
11,stuck,mixed_specular_diffuse,139
4,reflected_specular,mixed_specular_diffuse,9
7,reflected_specular,mixed_specular_diffuse,9
7,stuck,mixed_specular_diffuse,3
4,reflected_diffuse,mixed_specular_diffuse,2
7,reflected_diffuse,mixed_specular_diffuse,2
9,reflected_specular,mixed_specular_diffuse,2
3,reflected_specular,mixed_specular_diffuse,1
