part_id,outcome,wall_mode,count
6,reflected_specular,mixed_specular_diffuse,5411
6,reflected_diffuse,mixed_specular_diffuse,2343
1,reflected_specular,mixed_specular_diffuse,2074
12,reflected_specular,mixed_specular_diffuse,1381
1,stuck,mixed_specular_diffuse,752
1,reflected_diffuse,mixed_specular_diffuse,712
6,stuck,mixed_specular_diffuse,679
12,reflected_diffuse,mixed_specular_diffuse,648
11,reflected_specular,mixed_specular_diffuse,354
12,stuck,mixed_specular_diffuse,190
11,stuck,mixed_specular_diffuse,140
11,reflected_diffuse,mixed_specular_diffuse,116
3,reflected_specular,mixed_specular_diffuse,21
3,reflected_diffuse,mixed_specular_diffuse,10
4,reflected_specular,mixed_specular_diffuse,8
3,stuck,mixed_specular_diffuse,5
9,reflected_specular,mixed_specular_diffuse,4
5,reflected_specular,mixed_specular_diffuse,2
4,stuck,mixed_specular_diffuse,1
5,reflected_diffuse,mixed_specular_diffuse,1
7,reflected_specular,mixed_specular_diffuse,1
7,stuck,mixed_specular_diffuse,1
9,reflected_diffuse,mixed_specular_diffuse,1
9,stuck,mixed_specular_diffuse,1
