integrator,rmse_xy_vs_ref_m,class_match_ratio_vs_ref,mismatch_count_vs_ref
drag_relaxation,0.0007115472894679159,0.9639,361
etd,0.0007072294494365716,0.964,360
etd2,0.00020076980982567242,0.9563,437
