part_id,outcome,wall_mode,count
1,reflected_specular,mixed_specular_diffuse,1882
1,stuck,mixed_specular_diffuse,683
1,reflected_diffuse,mixed_specular_diffuse,639
6,reflected_specular,mixed_specular_diffuse,148
6,reflected_diffuse,mixed_specular_diffuse,67
12,reflected_specular,mixed_specular_diffuse,61
12,reflected_diffuse,mixed_specular_diffuse,25
11,reflected_specular,mixed_specular_diffuse,16
6,stuck,mixed_specular_diffuse,9
11,reflected_diffuse,mixed_specular_diffuse,9
11,stuck,mixed_specular_diffuse,6
12,stuck,mixed_specular_diffuse,2
