diameter_nm,case_dir,config,particle_count,density_kgm3,mass_kg,charge_C,charge_e,q_over_m_Ckg,initial_speed_p50_mps,initial_speed_p90_mps,initial_speed_max_mps
10,examples\icp_rf_bias_cf4_o2_si_etching_2d_diameter_sweep\sio2_10nm,examples\icp_rf_bias_cf4_o2_si_etching_2d_diameter_sweep\sio2_10nm\run_config.yaml,10000,2200.0,1.1519173063162573e-21,-4.787225491314775e-18,-29.87951134553105,-4155.876003481493,388.0223782414248,583.4374945667554,864.9032781916535
20,examples\icp_rf_bias_cf4_o2_si_etching_2d_diameter_sweep\sio2_20nm,examples\icp_rf_bias_cf4_o2_si_etching_2d_diameter_sweep\sio2_20nm\run_config.yaml,10000,2200.0,9.215338450530059e-21,-9.57445098262955e-18,-59.7590226910621,-1038.9690008703733,194.0111891207124,291.7187472833777,432.45163909582675
50,examples\icp_rf_bias_cf4_o2_si_etching_2d_diameter_sweep\sio2_50nm,examples\icp_rf_bias_cf4_o2_si_etching_2d_diameter_sweep\sio2_50nm\run_config.yaml,10000,2200.0,1.439896632895322e-19,-2.3936127456573874e-17,-149.39755672765526,-166.2350401392597,77.60447564828495,116.68749891335105,172.9806556383307
100,examples\icp_rf_bias_cf4_o2_si_etching_2d_diameter_sweep\sio2_100nm,examples\icp_rf_bias_cf4_o2_si_etching_2d_diameter_sweep\sio2_100nm\run_config.yaml,10000,2200.0,1.1519173063162576e-18,-4.787225491314775e-17,-298.7951134553105,-41.558760034814924,38.80223782414247,58.343749456675525,86.49032781916534
