part_id,outcome,wall_mode,count
6,reflected_specular,mixed_specular_diffuse,5676
6,reflected_diffuse,mixed_specular_diffuse,2427
1,reflected_specular,mixed_specular_diffuse,2014
12,reflected_specular,mixed_specular_diffuse,1510
1,stuck,mixed_specular_diffuse,760
6,stuck,mixed_specular_diffuse,733
1,reflected_diffuse,mixed_specular_diffuse,683
12,reflected_diffuse,mixed_specular_diffuse,661
11,reflected_specular,mixed_specular_diffuse,296
12,stuck,mixed_specular_diffuse,174
11,reflected_diffuse,mixed_specular_diffuse,114
11,stuck,mixed_specular_diffuse,96
4,reflected_specular,mixed_specular_diffuse,5
3,reflected_specular,mixed_specular_diffuse,2
4,stuck,mixed_specular_diffuse,1
