part_id,outcome,wall_mode,count
6,reflected_specular,mixed_specular_diffuse,4876
6,reflected_diffuse,mixed_specular_diffuse,2110
1,reflected_specular,mixed_specular_diffuse,2083
12,reflected_specular,mixed_specular_diffuse,1571
1,stuck,mixed_specular_diffuse,746
1,reflected_diffuse,mixed_specular_diffuse,743
12,reflected_diffuse,mixed_specular_diffuse,664
6,stuck,mixed_specular_diffuse,605
11,reflected_specular,mixed_specular_diffuse,423
12,stuck,mixed_specular_diffuse,176
11,stuck,mixed_specular_diffuse,151
11,reflected_diffuse,mixed_specular_diffuse,148
3,reflected_specular,mixed_specular_diffuse,20
3,reflected_diffuse,mixed_specular_diffuse,8
3,stuck,mixed_specular_diffuse,8
4,reflected_specular,mixed_specular_diffuse,5
4,reflected_diffuse,mixed_specular_diffuse,3
9,reflected_diffuse,mixed_specular_diffuse,3
5,reflected_specular,mixed_specular_diffuse,2
9,stuck,mixed_specular_diffuse,2
5,stuck,mixed_specular_diffuse,1
7,reflected_diffuse,mixed_specular_diffuse,1
7,reflected_specular,mixed_specular_diffuse,1
9,reflected_specular,mixed_specular_diffuse,1
