particle_id,release_time,source_part_id,material_id,source_event_tag,x,vx,y,vy
1,0.0,1,1,,0.0,0.0,0.0,0.0
2,0.02,2,2,,0.0066521804511278,0.0,0.0034557823129251,0.0
3,0.04,3,1,,0.0101331578947368,0.0,0.0149462585034013,0.0
4,0.06,4,2,,0.0140743000358037,0.0,0.0018142857142857,0.0
5,0.08,5,1,,0.0179124060150375,0.0,0.0090714285714285,0.0
6,0.1,6,2,,0.0211348370927318,0.0,0.0011231292517006,0.0
7,0.12,7,1,,0.0243237808807733,0.0,0.0188340136054421,0.0
8,0.14,8,2,,0.0273401002506265,0.0,0.0025918367346938,0.0
9,0.16,9,1,,0.0300107411385606,0.0,0.0199571428571428,0.0
10,0.18,10,2,,0.0325644181883279,0.0,0.0163285714285714,0.0
11,0.2,11,1,,0.0350627640529896,0.0,0.0005183673469387,0.0
12,0.22,12,2,,0.0369268886501969,0.0,0.0005183673469387,0.0
13,0.24,1,1,,0.0387506766917293,0.0,0.0242768707482993,0.0
14,0.26,2,2,,0.040417006802721,0.0,0.0018142857142857,0.0
15,0.28,3,1,,0.0423142857142857,0.0,0.0090714285714285,0.0
16,0.3,4,2,,0.0443632116004296,0.0,0.0011231292517006,0.0
17,0.32,5,1,,0.04670231292517,0.0,0.0044061224489795,0.0
18,0.34,6,2,,0.0488285714285714,0.0,0.0044061224489795,0.0
19,0.36,7,1,,0.0509714285714285,0.0,0.0065659863945578,0.0
20,0.38,8,2,,0.0544128205128205,0.0,-0.0059531249999999,0.0
21,0.4,9,1,,0.0609787545787545,0.0,0.0313531249999999,0.0
22,0.42,10,2,,0.0807641025641025,0.0,0.0090714285714285,0.0
23,0.44,11,1,,0.0973978021978021,0.0,0.0011231292517006,0.0
24,0.46,12,2,,0.1016,0.0,0.0635,0.0
