particle_id,release_time,source_part_id,material_id,source_event_tag,x,vx,y,vy
1,0.0,1,1,,0.0361596092915713,0.0,0.0247679569948675,0.0
2,4e-05,2,2,,0.0929035670597142,0.0,-0.0242106313907285,0.0
3,8e-05,3,1,,0.0711658570443391,0.0,0.0613544607153141,0.0
4,0.00012,4,2,,0.0739409391960872,0.0,-0.0058077430648791,0.0
5,0.00016,5,1,,0.0807814057487736,0.0,0.0427858571333913,0.0
6,0.0002,6,2,,0.0694624121272459,0.0,-0.0168333414060199,0.0
7,0.00024,7,1,,0.0888755341666043,0.0,-0.0170889515773159,0.0
8,0.00028,8,2,,0.0793423403014563,0.0,0.0341159187175398,0.0
9,0.00032,9,1,,0.065102396321723,0.0,0.0181051260683246,0.0
10,0.00036,10,2,,0.0997184122039438,0.0,-0.0141365925761775,0.0
11,0.0004,11,1,,0.004052014276351,0.0,0.0044182065843811,0.0
12,0.00044,12,2,,0.0326159653902628,0.0,0.0059409734587747,0.0
13,0.00048,1,1,,0.0886432991206195,0.0,-0.0088410265411221,0.0
14,0.00052,2,2,,0.0269044089639864,0.0,0.0191376683106961,0.0
15,0.00056,3,1,,0.0612748811921153,0.0,0.0273884483794374,0.0
16,0.0006,4,2,,0.0702091969721233,0.0,0.0431751481475931,0.0
17,0.00064,5,1,,0.0937014375641846,0.0,-0.0128485152815617,0.0
18,0.00068,6,2,,0.0740303177456787,0.0,-0.0057055378290098,0.0
19,0.00072,7,1,,0.0649201860103078,0.0,0.0187068985750634,0.0
20,0.00076,8,2,,0.0762014953112184,0.0,-0.0023909392238139,0.0
21,0.0008,9,1,,0.091342090894897,0.0,0.0100371752500298,0.0
22,0.00084,10,2,,0.0765972776748105,0.0,0.0169160779580257,0.0
23,0.00088,11,1,,0.0674197562098518,0.0,-0.0059997455172755,0.0
24,0.00092,12,2,,0.0354477426754154,0.0,0.0248822775759655,0.0
25,0.00096,1,1,,0.039374448558053,0.0,0.001145781972507,0.0
26,0.001,2,2,,0.0956148209167146,0.0,0.0169481865199278,0.0
27,0.00104,3,1,,0.0477295785136458,0.0,0.0077638942120511,0.0
28,0.00108,4,2,,0.0821024662834832,0.0,0.0591526570433789,0.0
29,0.00112,5,1,,0.0272568738365273,0.0,0.0091661117177066,0.0
30,0.00116,6,2,,0.0648150252771407,0.0,-0.0290049504333611,0.0
31,0.0012,7,1,,0.0915572593796155,0.0,0.0435232355701673,0.0
32,0.00124,8,2,,0.092156669983581,0.0,-0.0269828884533336,0.0
33,0.00128,9,1,,0.0878591389258842,0.0,0.0246115097727425,0.0
34,0.00132,10,2,,0.0549460209627842,0.0,0.0007915181076689,0.0
35,0.00136,11,1,,0.0581266234472965,0.0,-0.0065055745979441,0.0
36,0.0014,12,2,,0.076530500926885,0.0,0.0294470717998021,0.0
37,0.00144,1,1,,0.0917978066191044,0.0,-0.0233445452762353,0.0
38,0.00148,2,2,,0.0818146172854594,0.0,0.0333880499866006,0.0
39,0.00152,3,1,,0.0673229088954582,0.0,0.0597657157542399,0.0
40,0.00156,4,2,,0.0521944961376107,0.0,0.0043772200616162,0.0
41,0.0016,5,1,,0.0020268908863285,0.0,0.0122622388387092,0.0
42,0.00164,6,2,,0.0818009371570465,0.0,-0.0118107444783615,0.0
