particle_id,x,y,vx,vy,release_time,mass,diameter,density,charge,source_part_id,material_id,source_event_tag,stick_probability,source_x,source_y,release_offset_m,target_x,target_y,initial_speed_mps,particle_model
12,0.17064515601274233,0.024,-939.80198438203229,14.196769172070093,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17064515601274233,0.021999999999999999,0.0020000000000000018,0.13112875228971782,0.022549708819726566,939.90920737235615,neutral_100nm_low_pressure_redeposit
13,0.17378703090527575,0.024,-359.94463276554916,4.1749121015716089,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17378703090527575,0.021999999999999999,0.0020000000000000018,0.11032065334563167,0.021991151879317963,359.9688438570509,neutral_100nm_low_pressure_redeposit
14,0.16120304357289278,0.024,-716.37922982477937,-48.952938424155043,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16120304357289278,0.021999999999999999,0.0020000000000000018,0.12334280165686115,0.022012796898723347,718.0498527990261,neutral_100nm_low_pressure_redeposit
15,0.15519121461461097,0.024,-415.54530427885493,-54.664322467035461,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.15519121461461097,0.021999999999999999,0.0020000000000000018,0.043971388494877209,0.021895205343700777,419.12538465116398,neutral_100nm_low_pressure_redeposit
16,0.15799293233759121,0.024,-312.64060515548204,-21.39473392690261,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.15799293233759121,0.021999999999999999,0.0020000000000000018,0.12568193131725064,0.022192775595463256,313.37179616517659,neutral_100nm_low_pressure_redeposit
17,0.17057528608049841,0.024,-583.19901146837572,-48.627651453052387,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17057528608049841,0.021999999999999999,0.0020000000000000018,0.12621273715359083,0.021702965167940114,585.22280839311975,neutral_100nm_low_pressure_redeposit
18,0.17468023136727995,0.024,-476.55547456785638,17.007304569739702,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17468023136727995,0.021999999999999999,0.0020000000000000018,0.1283066244151494,0.021758145925314595,476.85885621357886,neutral_100nm_low_pressure_redeposit
19,0.17743084855455243,0.024,-507.24079365899996,-71.275259980178561,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17743084855455243,0.021999999999999999,0.0020000000000000018,0.024013111363747369,0.022174347633237258,512.22396023326962,neutral_100nm_low_pressure_redeposit
20,0.16066424867674062,0.024,-682.45058167150012,-39.315660181769722,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16066424867674062,0.021999999999999999,0.0020000000000000018,0.14873175435811195,0.022223957653364927,683.58212203018979,neutral_100nm_low_pressure_redeposit
21,0.15511105550348972,0.024,-246.60647396782917,-20.324718925064609,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.15511105550348972,0.021999999999999999,0.0020000000000000018,0.12405892886120962,0.02186067289207622,247.44261395771846,neutral_100nm_low_pressure_redeposit
22,0.15983923477243275,0.024,-262.07286156549327,-42.497304352766783,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.15983923477243275,0.021999999999999999,0.0020000000000000018,0.12041894667973349,0.021956173083240053,265.4961499652639,neutral_100nm_low_pressure_redeposit
