part_id,outcome,wall_mode,count
6,reflected_specular,mixed_specular_diffuse,5221
6,reflected_diffuse,mixed_specular_diffuse,2287
1,reflected_specular,mixed_specular_diffuse,2088
1,stuck,mixed_specular_diffuse,753
1,reflected_diffuse,mixed_specular_diffuse,725
6,stuck,mixed_specular_diffuse,643
12,reflected_specular,mixed_specular_diffuse,110
12,reflected_diffuse,mixed_specular_diffuse,48
11,reflected_specular,mixed_specular_diffuse,20
12,stuck,mixed_specular_diffuse,19
11,stuck,mixed_specular_diffuse,10
11,reflected_diffuse,mixed_specular_diffuse,9
4,reflected_specular,mixed_specular_diffuse,5
3,reflected_specular,mixed_specular_diffuse,2
4,reflected_diffuse,mixed_specular_diffuse,2
3,stuck,mixed_specular_diffuse,1
4,stuck,mixed_specular_diffuse,1
